e_field charge_filename light_filename charge_thresholds light_samples
205.986 packet-0050000-2024_07_01_14_29_39_CDT.h5 mpd_run_hvramp_rctl_086_p0.data high 256
205.986 packet-0050000-2024_07_01_14_29_39_CDT.h5 mpd_run_hvramp_rctl_086_p0.data high 256
205.986 packet-0050000-2024_07_01_14_29_39_CDT.h5 mpd_run_hvramp_rctl_086_p1.data high 256
205.986 packet-0050000-2024_07_01_14_39_41_CDT.h5 mpd_run_hvramp_rctl_086_p2.data high 256
205.986 packet-0050000-2024_07_01_14_39_41_CDT.h5 mpd_run_hvramp_rctl_086_p3.data high 256
205.986 packet-0050000-2024_07_01_14_39_41_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050000-2024_07_01_14_49_42_CDT.h5 mpd_run_hvramp_rctl_086_p4.data high 256
205.986 packet-0050001-2024_07_01_14_59_06_CDT.h5 mpd_run_hvramp_rctl_087_p0.data high 256
205.986 packet-0050001-2024_07_01_14_59_06_CDT.h5 mpd_run_hvramp_rctl_087_p0.data high 256
205.986 packet-0050001-2024_07_01_14_59_06_CDT.h5 mpd_run_hvramp_rctl_087_p1.data high 256
205.986 packet-0050001-2024_07_01_15_09_08_CDT.h5 mpd_run_hvramp_rctl_087_p2.data high 256
205.986 packet-0050001-2024_07_01_15_09_08_CDT.h5 mpd_run_hvramp_rctl_087_p3.data high 256
205.986 packet-0050001-2024_07_01_15_19_09_CDT.h5 mpd_run_hvramp_rctl_087_p4.data high 256
205.986 packet-0050001-2024_07_01_15_19_09_CDT.h5 mpd_run_hvramp_rctl_087_p5.data high 256
205.986 packet-0050001-2024_07_01_15_19_09_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_01_15_29_10_CDT.h5 mpd_run_hvramp_rctl_087_p6.data high 256
205.986 packet-0050001-2024_07_01_15_29_10_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_01_15_29_10_CDT.h5 mpd_run_hvramp_rctl_087_p7.data high 256
205.986 packet-0050001-2024_07_01_15_39_12_CDT.h5 mpd_run_hvramp_rctl_087_p8.data high 256
205.986 packet-0050001-2024_07_01_15_39_12_CDT.h5 mpd_run_hvramp_rctl_087_p9.data high 256
205.986 packet-0050001-2024_07_01_15_49_13_CDT.h5 mpd_run_hvramp_rctl_087_p10.data high 256
205.986 packet-0050001-2024_07_01_15_49_13_CDT.h5 mpd_run_hvramp_rctl_087_p11.data high 256
205.986 packet-0050001-2024_07_01_15_59_14_CDT.h5 mpd_run_hvramp_rctl_087_p12.data high 256
205.986 packet-0050001-2024_07_01_15_59_14_CDT.h5 mpd_run_hvramp_rctl_087_p13.data high 256
205.986 packet-0050001-2024_07_01_16_09_15_CDT.h5 mpd_run_hvramp_rctl_087_p14.data high 256
205.986 packet-0050001-2024_07_01_16_09_15_CDT.h5 mpd_run_hvramp_rctl_087_p14.data high 256
205.986 packet-0050001-2024_07_01_16_09_15_CDT.h5 mpd_run_hvramp_rctl_087_p14.data high 256
205.986 packet-0050001-2024_07_01_16_09_15_CDT.h5 mpd_run_hvramp_rctl_087_p15.data high 256
205.986 packet-0050001-2024_07_01_16_19_16_CDT.h5 mpd_run_hvramp_rctl_087_p16.data high 256
205.986 packet-0050001-2024_07_01_16_19_16_CDT.h5 mpd_run_hvramp_rctl_087_p17.data high 256
205.986 packet-0050001-2024_07_01_16_29_17_CDT.h5 mpd_run_hvramp_rctl_087_p18.data high 256
205.986 packet-0050001-2024_07_01_16_29_17_CDT.h5 mpd_run_hvramp_rctl_087_p19.data high 256
205.986 packet-0050001-2024_07_01_16_39_18_CDT.h5 mpd_run_hvramp_rctl_087_p20.data high 256
205.986 packet-0050001-2024_07_01_16_39_18_CDT.h5 mpd_run_hvramp_rctl_087_p21.data high 256
205.986 packet-0050001-2024_07_01_16_49_19_CDT.h5 mpd_run_hvramp_rctl_087_p22.data high 256
205.986 packet-0050001-2024_07_01_16_49_19_CDT.h5 mpd_run_hvramp_rctl_087_p23.data high 256
205.986 packet-0050001-2024_07_01_16_59_20_CDT.h5 mpd_run_hvramp_rctl_087_p24.data high 256
205.986 packet-0050001-2024_07_01_16_59_20_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_01_16_59_20_CDT.h5 mpd_run_hvramp_rctl_087_p25.data high 256
205.986 packet-0050001-2024_07_01_17_09_21_CDT.h5 mpd_run_hvramp_rctl_087_p26.data high 256
205.986 packet-0050001-2024_07_01_17_09_21_CDT.h5 mpd_run_hvramp_rctl_087_p27.data high 256
205.986 packet-0050001-2024_07_01_17_19_22_CDT.h5 mpd_run_hvramp_rctl_087_p28.data high 256
205.986 packet-0050001-2024_07_01_17_19_22_CDT.h5 mpd_run_hvramp_rctl_087_p28.data high 256
205.986 packet-0050001-2024_07_01_17_19_22_CDT.h5 mpd_run_hvramp_rctl_087_p28.data high 256
205.986 packet-0050001-2024_07_01_17_19_22_CDT.h5 mpd_run_hvramp_rctl_087_p29.data high 256
205.986 packet-0050001-2024_07_01_17_29_23_CDT.h5 mpd_run_hvramp_rctl_087_p30.data high 256
205.986 packet-0050001-2024_07_01_17_29_23_CDT.h5 mpd_run_hvramp_rctl_087_p31.data high 256
205.986 packet-0050001-2024_07_01_17_39_24_CDT.h5 mpd_run_hvramp_rctl_087_p32.data high 256
205.986 packet-0050001-2024_07_01_17_39_24_CDT.h5 mpd_run_hvramp_rctl_087_p33.data high 256
205.986 packet-0050001-2024_07_01_17_49_25_CDT.h5 mpd_run_hvramp_rctl_087_p34.data high 256
205.986 packet-0050001-2024_07_01_17_49_25_CDT.h5 mpd_run_hvramp_rctl_087_p35.data high 256
205.986 packet-0050001-2024_07_01_17_59_27_CDT.h5 mpd_run_hvramp_rctl_087_p36.data high 256
205.986 packet-0050001-2024_07_01_17_59_27_CDT.h5 mpd_run_hvramp_rctl_087_p37.data high 256
205.986 packet-0050001-2024_07_01_18_09_28_CDT.h5 mpd_run_hvramp_rctl_087_p38.data high 256
205.986 packet-0050001-2024_07_01_18_09_28_CDT.h5 mpd_run_hvramp_rctl_087_p39.data high 256
205.986 packet-0050001-2024_07_01_18_19_29_CDT.h5 mpd_run_hvramp_rctl_087_p40.data high 256
205.986 packet-0050001-2024_07_01_18_19_29_CDT.h5 mpd_run_hvramp_rctl_087_p41.data high 256
205.986 packet-0050001-2024_07_01_18_29_30_CDT.h5 mpd_run_hvramp_rctl_087_p42.data high 256
205.986 packet-0050001-2024_07_01_18_29_30_CDT.h5 mpd_run_hvramp_rctl_087_p43.data high 256
205.986 packet-0050001-2024_07_01_18_39_31_CDT.h5 mpd_run_hvramp_rctl_087_p44.data high 256
205.986 packet-0050001-2024_07_01_18_39_31_CDT.h5 mpd_run_hvramp_rctl_087_p45.data high 256
205.986 packet-0050001-2024_07_01_18_49_32_CDT.h5 mpd_run_hvramp_rctl_087_p46.data high 256
205.986 packet-0050001-2024_07_01_18_49_32_CDT.h5 mpd_run_hvramp_rctl_087_p47.data high 256
205.986 packet-0050001-2024_07_01_18_59_33_CDT.h5 mpd_run_hvramp_rctl_087_p48.data high 256
205.986 packet-0050001-2024_07_01_18_59_33_CDT.h5 mpd_run_hvramp_rctl_087_p49.data high 256
