det_id,tpc,side,sipm_pos,adc,channel
0,0,0,0,0,4
0,0,0,1,0,5
0,0,0,2,0,6
0,0,0,3,0,7
0,0,0,4,0,8
0,0,0,5,0,9
1,0,0,6,1,4
1,0,0,7,1,5
2,0,0,8,1,6
2,0,0,9,1,7
3,0,0,10,1,8
3,0,0,11,1,9
4,0,0,12,0,10
4,0,0,13,0,11
4,0,0,14,0,12
4,0,0,15,0,13
4,0,0,16,0,14
4,0,0,17,0,15
5,0,0,18,1,10
5,0,0,19,1,11
6,0,0,20,1,12
6,0,0,21,1,13
7,0,0,22,1,14
7,0,0,23,1,15
8,0,1,0,0,20
8,0,1,1,0,21
8,0,1,2,0,22
8,0,1,3,0,23
8,0,1,4,0,24
8,0,1,5,0,25
9,0,1,6,1,20
9,0,1,7,1,21
10,0,1,8,1,22
10,0,1,9,1,23
11,0,1,10,1,24
11,0,1,11,1,25
12,0,1,12,0,26
12,0,1,13,0,27
12,0,1,14,0,28
12,0,1,15,0,29
12,0,1,16,0,30
12,0,1,17,0,31
13,0,1,18,1,26
13,0,1,19,1,27
14,0,1,20,1,28
14,0,1,21,1,29
15,0,1,22,1,30
15,0,1,23,1,31
16,1,0,0,0,52
16,1,0,1,0,53
16,1,0,2,0,54
16,1,0,3,0,55
16,1,0,4,0,56
16,1,0,5,0,57
17,1,0,6,1,52
17,1,0,7,1,53
18,1,0,8,1,54
18,1,0,9,1,55
19,1,0,10,1,56
19,1,0,11,1,57
20,1,0,12,0,58
20,1,0,13,0,59
20,1,0,14,0,60
20,1,0,15,0,61
20,1,0,16,0,62
20,1,0,17,0,63
21,1,0,18,1,58
21,1,0,19,1,59
22,1,0,20,1,60
22,1,0,21,1,61
23,1,0,22,1,62
23,1,0,23,1,63
24,1,1,0,0,36
24,1,1,1,0,37
24,1,1,2,0,38
24,1,1,3,0,39
24,1,1,4,0,40
24,1,1,5,0,41
25,1,1,6,1,36
25,1,1,7,1,37
26,1,1,8,1,38
26,1,1,9,1,39
27,1,1,10,1,40
27,1,1,11,1,41
28,1,1,12,0,42
28,1,1,13,0,43
28,1,1,14,0,44
28,1,1,15,0,45
28,1,1,16,0,46
28,1,1,17,0,47
29,1,1,18,1,42
29,1,1,19,1,43
30,1,1,20,1,44
30,1,1,21,1,45
31,1,1,22,1,46
31,1,1,23,1,47
32,2,0,0,2,4
32,2,0,1,2,5
32,2,0,2,2,6
32,2,0,3,2,7
32,2,0,4,2,8
32,2,0,5,2,9
33,2,0,6,3,4
33,2,0,7,3,5
34,2,0,8,3,6
34,2,0,9,3,7
35,2,0,10,3,8
35,2,0,11,3,9
36,2,0,12,2,10
36,2,0,13,2,11
36,2,0,14,2,12
36,2,0,15,2,13
36,2,0,16,2,14
36,2,0,17,2,15
37,2,0,18,3,10
37,2,0,19,3,11
38,2,0,20,3,12
38,2,0,21,3,13
39,2,0,22,3,14
39,2,0,23,3,15
40,2,1,0,2,20
40,2,1,1,2,21
40,2,1,2,2,22
40,2,1,3,2,23
40,2,1,4,2,24
40,2,1,5,2,25
41,2,1,6,3,20
41,2,1,7,3,21
42,2,1,8,3,22
42,2,1,9,3,23
43,2,1,10,3,24
43,2,1,11,3,25
44,2,1,12,2,26
44,2,1,13,2,27
44,2,1,14,2,28
44,2,1,15,2,29
44,2,1,16,2,30
44,2,1,17,2,31
45,2,1,18,3,26
45,2,1,19,3,27
46,2,1,20,3,28
46,2,1,21,3,29
47,2,1,22,3,30
47,2,1,23,3,31
48,3,0,0,2,52
48,3,0,1,2,53
48,3,0,2,2,54
48,3,0,3,2,55
48,3,0,4,2,56
48,3,0,5,2,57
49,3,0,6,3,52
49,3,0,7,3,53
50,3,0,8,3,54
50,3,0,9,3,55
51,3,0,10,3,56
51,3,0,11,3,57
52,3,0,12,2,58
52,3,0,13,2,59
52,3,0,14,2,60
52,3,0,15,2,61
52,3,0,16,2,62
52,3,0,17,2,63
53,3,0,18,3,58
53,3,0,19,3,59
54,3,0,20,3,60
54,3,0,21,3,61
55,3,0,22,3,62
55,3,0,23,3,63
56,3,1,0,2,36
56,3,1,1,2,37
56,3,1,2,2,38
56,3,1,3,2,39
56,3,1,4,2,40
56,3,1,5,2,41
57,3,1,6,3,36
57,3,1,7,3,37
58,3,1,8,3,38
58,3,1,9,3,39
59,3,1,10,3,40
59,3,1,11,3,41
60,3,1,12,2,42
60,3,1,13,2,43
60,3,1,14,2,44
60,3,1,15,2,45
60,3,1,16,2,46
60,3,1,17,2,47
61,3,1,18,3,42
61,3,1,19,3,43
62,3,1,20,3,44
62,3,1,21,3,45
63,3,1,22,3,46
63,3,1,23,3,47
64,4,0,0,4,4
64,4,0,1,4,5
64,4,0,2,4,6
64,4,0,3,4,7
64,4,0,4,4,8
64,4,0,5,4,9
65,4,0,6,5,4
65,4,0,7,5,5
66,4,0,8,5,6
66,4,0,9,5,7
67,4,0,10,5,8
67,4,0,11,5,9
68,4,0,12,4,10
68,4,0,13,4,11
68,4,0,14,4,12
68,4,0,15,4,13
68,4,0,16,4,14
68,4,0,17,4,15
69,4,0,18,5,10
69,4,0,19,5,11
70,4,0,20,5,12
70,4,0,21,5,13
71,4,0,22,5,14
71,4,0,23,5,15
72,4,1,0,4,20
72,4,1,1,4,21
72,4,1,2,4,22
72,4,1,3,4,23
72,4,1,4,4,24
72,4,1,5,4,25
73,4,1,6,5,20
73,4,1,7,5,21
74,4,1,8,5,22
74,4,1,9,5,23
75,4,1,10,5,24
75,4,1,11,5,25
76,4,1,12,4,26
76,4,1,13,4,27
76,4,1,14,4,28
76,4,1,15,4,29
76,4,1,16,4,30
76,4,1,17,4,31
77,4,1,18,5,26
77,4,1,19,5,27
78,4,1,20,5,28
78,4,1,21,5,29
79,4,1,22,5,30
79,4,1,23,5,31
80,5,0,0,4,52
80,5,0,1,4,53
80,5,0,2,4,54
80,5,0,3,4,55
80,5,0,4,4,56
80,5,0,5,4,57
81,5,0,6,5,52
81,5,0,7,5,53
82,5,0,8,5,54
82,5,0,9,5,55
83,5,0,10,5,56
83,5,0,11,5,57
84,5,0,12,4,58
84,5,0,13,4,59
84,5,0,14,4,60
84,5,0,15,4,61
84,5,0,16,4,62
84,5,0,17,4,63
85,5,0,18,5,58
85,5,0,19,5,59
86,5,0,20,5,60
86,5,0,21,5,61
87,5,0,22,5,62
87,5,0,23,5,63
88,5,1,0,4,36
88,5,1,1,4,37
88,5,1,2,4,38
88,5,1,3,4,39
88,5,1,4,4,40
88,5,1,5,4,41
89,5,1,6,5,36
89,5,1,7,5,37
90,5,1,8,5,38
90,5,1,9,5,39
91,5,1,10,5,40
91,5,1,11,5,41
92,5,1,12,4,42
92,5,1,13,4,43
92,5,1,14,4,44
92,5,1,15,4,45
92,5,1,16,4,46
92,5,1,17,4,47
93,5,1,18,5,42
93,5,1,19,5,43
94,5,1,20,5,44
94,5,1,21,5,45
95,5,1,22,5,46
95,5,1,23,5,47
96,6,0,0,6,4
96,6,0,1,6,5
96,6,0,2,6,6
96,6,0,3,6,7
96,6,0,4,6,8
96,6,0,5,6,9
97,6,0,6,7,4
97,6,0,7,7,5
98,6,0,8,7,6
98,6,0,9,7,7
99,6,0,10,7,8
99,6,0,11,7,9
100,6,0,12,6,10
100,6,0,13,6,11
100,6,0,14,6,12
100,6,0,15,6,13
100,6,0,16,6,14
100,6,0,17,6,15
101,6,0,18,7,10
101,6,0,19,7,11
102,6,0,20,7,12
102,6,0,21,7,13
103,6,0,22,7,14
103,6,0,23,7,15
104,6,1,0,6,20
104,6,1,1,6,21
104,6,1,2,6,22
104,6,1,3,6,23
104,6,1,4,6,24
104,6,1,5,6,25
105,6,1,6,7,20
105,6,1,7,7,21
106,6,1,8,7,22
106,6,1,9,7,23
107,6,1,10,7,24
107,6,1,11,7,25
108,6,1,12,6,26
108,6,1,13,6,27
108,6,1,14,6,28
108,6,1,15,6,29
108,6,1,16,6,30
108,6,1,17,6,31
109,6,1,18,7,26
109,6,1,19,7,27
110,6,1,20,7,28
110,6,1,21,7,29
111,6,1,22,7,30
111,6,1,23,7,31
112,7,0,0,6,52
112,7,0,1,6,53
112,7,0,2,6,54
112,7,0,3,6,55
112,7,0,4,6,56
112,7,0,5,6,57
113,7,0,6,7,52
113,7,0,7,7,53
114,7,0,8,7,54
114,7,0,9,7,55
115,7,0,10,7,56
115,7,0,11,7,57
116,7,0,12,6,58
116,7,0,13,6,59
116,7,0,14,6,60
116,7,0,15,6,61
116,7,0,16,6,62
116,7,0,17,6,63
117,7,0,18,7,58
117,7,0,19,7,59
118,7,0,20,7,60
118,7,0,21,7,61
119,7,0,22,7,62
119,7,0,23,7,63
120,7,1,0,6,36
